mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_max_iter,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.186315965652466,0.14289056902329061,0.0014361858367919922,9.762586087268798e-05,lbfgs,l2,2000,0.03359818286283781,"{'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 2000, 'C': 0.03359818286283781}",0.704375,0.7098214285714286,0.7014285714285714,0.7025892857142857,0.7061607142857143,0.704875,0.0029486463514844497,3
0.0009961605072021484,0.00015684089651320004,0.0,0.0,saga,elasticnet,1000,0.004832930238571752,"{'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'C': 0.004832930238571752}",,,,,,,,10
1.6739988803863526,0.039673960208991325,0.0013106822967529296,2.2671388042198753e-05,sag,l2,500,0.0006951927961775605,"{'solver': 'sag', 'penalty': 'l2', 'max_iter': 500, 'C': 0.0006951927961775605}",0.7055357142857143,0.6935714285714286,0.6988392857142857,0.69125,0.6967857142857142,0.6971964285714286,0.004917560163250008,5
0.0008237361907958984,4.3934534741365245e-05,0.0,0.0,newton-cg,none,2000,0.00026366508987303583,"{'solver': 'newton-cg', 'penalty': 'none', 'max_iter': 2000, 'C': 0.00026366508987303583}",,,,,,,,10
0.0010547161102294922,0.0003839970967287699,0.0,0.0,liblinear,none,2000,4.281332398719396,"{'solver': 'liblinear', 'penalty': 'none', 'max_iter': 2000, 'C': 4.281332398719396}",,,,,,,,10
4.455874347686768,0.0225965228230394,0.0014672279357910156,0.00020669931061671548,saga,l1,1000,10000.0,"{'solver': 'saga', 'penalty': 'l1', 'max_iter': 1000, 'C': 10000.0}",0.7053571428571429,0.69375,0.6988392857142857,0.6910714285714286,0.696875,0.6971785714285714,0.004874247717989589,7
0.00088348388671875,7.656713094127692e-05,0.0,0.0,sag,elasticnet,2000,206.913808111479,"{'solver': 'sag', 'penalty': 'elasticnet', 'max_iter': 2000, 'C': 206.913808111479}",,,,,,,,10
0.0008276462554931641,3.5539758152070766e-05,0.0,0.0,liblinear,none,5000,0.0006951927961775605,"{'solver': 'liblinear', 'penalty': 'none', 'max_iter': 5000, 'C': 0.0006951927961775605}",,,,,,,,10
0.0008564472198486328,4.537084888124504e-05,0.0,0.0,sag,none,5000,0.012742749857031334,"{'solver': 'sag', 'penalty': 'none', 'max_iter': 5000, 'C': 0.012742749857031334}",,,,,,,,10
0.0008394241333007813,2.7002796102596013e-05,0.0,0.0,newton-cg,elasticnet,500,0.23357214690901212,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 500, 'C': 0.23357214690901212}",,,,,,,,10
0.0008187770843505859,1.7973282272562724e-05,0.0,0.0,saga,elasticnet,1000,0.03359818286283781,"{'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 1000, 'C': 0.03359818286283781}",,,,,,,,10
0.0008478641510009765,3.306355983723672e-05,0.0,0.0,sag,l1,5000,29.763514416313132,"{'solver': 'sag', 'penalty': 'l1', 'max_iter': 5000, 'C': 29.763514416313132}",,,,,,,,10
1.7318229675292969,0.04790988921416184,0.0019086837768554688,0.0009460556001791198,sag,l2,500,11.288378916846883,"{'solver': 'sag', 'penalty': 'l2', 'max_iter': 500, 'C': 11.288378916846883}",0.7055357142857143,0.6935714285714286,0.6988392857142857,0.69125,0.6967857142857142,0.6971964285714286,0.004917560163250008,5
7.443626451492309,0.023213021188155054,0.002485370635986328,0.0018665358427178572,saga,l2,2000,10000.0,"{'solver': 'saga', 'penalty': 'l2', 'max_iter': 2000, 'C': 10000.0}",0.7075892857142857,0.7041964285714286,0.7026785714285714,0.6947321428571429,0.7038392857142857,0.7026071428571428,0.004263484011740534,4
4.754798841476441,0.08407874096791106,0.0018837451934814453,0.000577231558077164,saga,l1,1000,0.08858667904100823,"{'solver': 'saga', 'penalty': 'l1', 'max_iter': 1000, 'C': 0.08858667904100823}",0.7053571428571429,0.69375,0.6988392857142857,0.6910714285714286,0.696875,0.6971785714285714,0.004874247717989589,7
0.5732439994812012,0.05934129483202542,0.0011757850646972657,4.534182330964583e-05,newton-cg,l2,5000,0.0001,"{'solver': 'newton-cg', 'penalty': 'l2', 'max_iter': 5000, 'C': 0.0001}",0.7164285714285714,0.7158928571428571,0.7132142857142857,0.710625,0.7167857142857142,0.7145892857142857,0.00234575169623901,1
0.0008355140686035156,4.510299814730762e-05,0.0,0.0,newton-cg,elasticnet,1000,0.0001,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'max_iter': 1000, 'C': 0.0001}",,,,,,,,10
4.436269235610962,0.03362547135651324,0.0013098716735839844,3.9907310544648715e-05,saga,l1,1000,4.281332398719396,"{'solver': 'saga', 'penalty': 'l1', 'max_iter': 1000, 'C': 4.281332398719396}",0.7053571428571429,0.69375,0.6988392857142857,0.6910714285714286,0.696875,0.6971785714285714,0.004874247717989589,7
0.12715048789978028,0.020864637235651465,0.0010869979858398437,4.7791692550870354e-05,liblinear,l2,2000,0.004832930238571752,"{'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 2000, 'C': 0.004832930238571752}",0.7059821428571429,0.7111607142857143,0.7046428571428571,0.7060714285714286,0.7086607142857143,0.7073035714285714,0.002326505437565186,2
0.0008574485778808594,8.130144862871813e-05,0.0,0.0,saga,elasticnet,500,78.47599703514607,"{'solver': 'saga', 'penalty': 'elasticnet', 'max_iter': 500, 'C': 78.47599703514607}",,,,,,,,10
